LoanDuration,LoanPurpose,LoanAmount,InstallmentPercent,AcceptedPercent,Accepted,AmountGranted,transaction_id,timestamp
16,repairs,1092,2,0.8267284951072128,1,1092,1-0-0,2019-08-30T00:47:19.116728Z
56,appliances,8005,5,0.20089492775354087,0,0,1-0-1,2019-08-30T00:47:19.116781Z
33,vacation,5848,4,0.4590395198999529,0,0,1-0-2,2019-08-30T00:47:19.116805Z
9,car_new,3005,3,0.7646465334457976,1,3005,1-0-3,2019-08-30T00:47:19.116825Z
15,radio_tv,1391,1,0.8451260509533637,1,1391,1-0-4,2019-08-30T00:47:19.116844Z
42,repairs,8226,4,0.1714474377539312,0,0,1-0-5,2019-08-30T00:47:19.116862Z
22,car_used,4668,2,0.6979155226076359,1,4668,1-0-6,2019-08-30T00:47:19.116880Z
43,repairs,8886,5,0.17200066265387173,0,0,1-0-7,2019-08-30T00:47:19.116897Z
39,furniture,5712,4,0.305565660898152,0,0,1-0-8,2019-08-30T00:47:19.116915Z
18,retraining,2036,3,0.7936710976381139,1,2036,1-0-9,2019-08-30T00:47:19.116935Z
15,vacation,2223,2,0.9556731194567559,1,2223,1-0-10,2019-08-30T00:47:19.116952Z
23,car_used,1968,3,0.7358697198406199,1,1968,1-0-11,2019-08-30T00:47:19.116970Z
4,car_used,2643,2,0.967708387706061,1,2643,1-0-12,2019-08-30T00:47:19.116987Z
21,car_used,2049,3,0.9102474712910844,1,2049,1-0-13,2019-08-30T00:47:19.117004Z
10,car_new,343,1,0.8866133264582855,1,343,1-0-14,2019-08-30T00:47:19.117022Z
12,vacation,250,3,0.8646978667386254,1,250,1-0-15,2019-08-30T00:47:19.117039Z
25,car_used,2922,2,0.8319897886355416,1,2922,1-0-16,2019-08-30T00:47:19.117056Z
9,car_new,3244,3,0.8675387113201133,1,3244,1-0-17,2019-08-30T00:47:19.117073Z
23,repairs,5082,2,0.6009836960383661,1,5082,1-0-18,2019-08-30T00:47:19.117091Z
35,car_used,5208,3,0.6618477478472145,1,5208,1-0-19,2019-08-30T00:47:19.117110Z
8,radio_tv,2057,2,0.7469209981128594,1,2057,1-0-20,2019-08-30T00:47:19.117129Z
31,radio_tv,3914,4,0.5445217257290433,1,3914,1-0-21,2019-08-30T00:47:19.117148Z
9,car_used,649,1,0.9639994292949794,1,649,1-0-22,2019-08-30T00:47:19.117167Z
37,furniture,4396,4,0.3638374013110004,0,0,1-0-23,2019-08-30T00:47:19.117185Z
4,car_new,250,1,0.9597912500962877,1,250,1-0-24,2019-08-30T00:47:19.117205Z
17,car_new,5869,3,0.708808424890784,1,5869,1-0-25,2019-08-30T00:47:19.117225Z
11,furniture,1480,3,0.8549299212347083,1,1480,1-0-26,2019-08-30T00:47:19.117247Z
8,car_used,1895,2,0.9436466796036154,1,1895,1-0-27,2019-08-30T00:47:19.117266Z
4,vacation,2411,3,0.8227927495570379,1,2411,1-0-28,2019-08-30T00:47:19.117286Z
29,repairs,3972,4,0.39353345610887724,0,0,1-0-29,2019-08-30T00:47:19.117309Z
30,other,5206,5,0.44010382987805474,0,0,1-0-30,2019-08-30T00:47:19.117330Z
35,retraining,3810,3,0.6797274840767441,1,3810,1-0-31,2019-08-30T00:47:19.117350Z
12,car_new,250,2,0.8421110130284133,1,250,1-0-32,2019-08-30T00:47:19.117369Z
25,radio_tv,4535,2,0.7686086981565722,1,4535,1-0-33,2019-08-30T00:47:19.117387Z
36,appliances,9570,4,0.2197962956189179,0,0,1-0-34,2019-08-30T00:47:19.117409Z
8,car_new,4710,4,0.49108599661732366,0,0,1-0-35,2019-08-30T00:47:19.117429Z
16,radio_tv,2321,2,0.8247830385150049,1,2321,1-0-36,2019-08-30T00:47:19.117449Z
12,car_used,3563,2,0.9111985156090059,1,3563,1-0-37,2019-08-30T00:47:19.117470Z
20,radio_tv,4351,4,0.6650304587727435,1,4351,1-0-38,2019-08-30T00:47:19.117489Z
13,vacation,250,2,0.7876209371582903,1,250,1-0-39,2019-08-30T00:47:19.117507Z
24,education,8247,4,0.41949668452629457,0,0,1-0-40,2019-08-30T00:47:19.117524Z
16,car_new,1680,3,0.807771620536923,1,1680,1-0-41,2019-08-30T00:47:19.117541Z
15,car_new,1733,2,0.9472467791262611,1,1733,1-0-42,2019-08-30T00:47:19.117570Z
4,car_new,250,2,0.9800331274776278,1,250,1-0-43,2019-08-30T00:47:19.117588Z
41,repairs,3423,5,0.269312397813294,0,0,1-0-44,2019-08-30T00:47:19.117606Z
42,furniture,6640,3,0.5680205281186763,1,6640,1-0-45,2019-08-30T00:47:19.117625Z
26,radio_tv,3261,3,0.8918841160046475,1,3261,1-0-46,2019-08-30T00:47:19.117644Z
19,car_new,1904,2,0.8307687320220636,1,1904,1-0-47,2019-08-30T00:47:19.117664Z
4,radio_tv,250,1,0.96271258843705,1,250,1-0-48,2019-08-30T00:47:19.117682Z
28,radio_tv,675,3,0.5796688851641383,1,675,1-0-49,2019-08-30T00:47:19.117699Z
26,radio_tv,1853,4,0.6836678395743118,1,1853,1-0-50,2019-08-30T00:47:19.117717Z
19,car_new,250,2,0.8938451389517319,1,250,1-0-51,2019-08-30T00:47:19.117733Z
10,car_used,250,1,0.8876624226295172,1,250,1-0-52,2019-08-30T00:47:19.117751Z
4,repairs,250,2,0.9723253981348187,1,250,1-0-53,2019-08-30T00:47:19.117770Z
32,repairs,6331,5,0.08792934711881151,0,0,1-0-54,2019-08-30T00:47:19.117787Z
22,appliances,3621,4,0.6062760072423632,1,3621,1-0-55,2019-08-30T00:47:19.117805Z
26,furniture,5978,4,0.3249807963638947,0,0,1-0-56,2019-08-30T00:47:19.117822Z
28,business,6891,3,0.27020447196092656,0,0,1-0-57,2019-08-30T00:47:19.117839Z
17,furniture,250,3,0.6260413872824176,1,250,1-0-58,2019-08-30T00:47:19.117857Z
