LoanDuration,LoanPurpose,LoanAmount,InstallmentPercent,AcceptedPercent,Accepted,AmountGranted,transaction_id,timestamp
10,car_new,1315,2,0.9165440423762803,1,1315,4-0-0,2019-09-02T00:47:20.016074Z
12,car_new,250,2,0.9564776479056759,1,250,4-0-1,2019-09-02T00:47:20.016112Z
44,retraining,3395,4,0.5888151269761464,1,3395,4-0-2,2019-09-02T00:47:20.016132Z
17,car_new,2050,2,0.9121866757049995,1,2050,4-0-3,2019-09-02T00:47:20.016149Z
4,car_new,250,2,0.9595475927401746,1,250,4-0-4,2019-09-02T00:47:20.016167Z
36,appliances,9582,5,0.1799394108186882,0,0,4-0-5,2019-09-02T00:47:20.016185Z
35,vacation,5059,4,0.4931966218727375,0,0,4-0-6,2019-09-02T00:47:20.016203Z
8,furniture,250,3,0.793602320981093,1,250,4-0-7,2019-09-02T00:47:20.016220Z
18,car_new,1410,2,0.8219133709740143,1,1410,4-0-8,2019-09-02T00:47:20.016237Z
8,car_new,250,1,0.9800331274776278,1,250,4-0-9,2019-09-02T00:47:20.016254Z
30,furniture,5776,3,0.22195532972894383,0,0,4-0-10,2019-09-02T00:47:20.016270Z
16,retraining,1062,2,0.8005839139623256,1,1062,4-0-11,2019-09-02T00:47:20.016288Z
12,car_new,536,2,0.9362290001202288,1,536,4-0-12,2019-09-02T00:47:20.016304Z
7,car_new,250,2,0.9488532702454965,1,250,4-0-13,2019-09-02T00:47:20.016321Z
17,car_used,3807,3,0.8293622617193058,1,3807,4-0-14,2019-09-02T00:47:20.016337Z
40,repairs,9175,5,0.22809065833838726,0,0,4-0-15,2019-09-02T00:47:20.016353Z
11,furniture,1480,3,0.8549299212347083,1,1480,4-0-16,2019-09-02T00:47:20.016369Z
16,car_new,2324,3,0.9398079234535563,1,2324,4-0-17,2019-09-02T00:47:20.016385Z
5,car_used,1509,2,0.892684005042331,1,1509,4-0-18,2019-09-02T00:47:20.016402Z
8,car_used,250,2,0.9685941205958082,1,250,4-0-19,2019-09-02T00:47:20.016418Z
29,radio_tv,7468,5,0.09017541433549625,0,0,4-0-20,2019-09-02T00:47:20.016436Z
29,furniture,5528,4,0.4475232018803264,0,0,4-0-21,2019-09-02T00:47:20.016454Z
32,repairs,6172,5,0.16476591613580063,0,0,4-0-22,2019-09-02T00:47:20.016472Z
37,furniture,4396,4,0.3638374013110004,0,0,4-0-23,2019-09-02T00:47:20.016489Z
8,car_new,2099,2,0.7686241446237237,1,2099,4-0-24,2019-09-02T00:47:20.016506Z
24,business,4404,3,0.42363483010262454,0,0,4-0-25,2019-09-02T00:47:20.016523Z
34,appliances,4957,4,0.7643644887549669,1,4957,4-0-26,2019-09-02T00:47:20.016540Z
